name,locality,cuisines,rating,price_for_two,votes,city,source,price_band,primary_cuisine
Plum By Bent Chair,Aerocity,Asian,4.9,0,1545,New Delhi,kaggle,Budget (≤₹300),Asian
Pa Pa Ya,Select Citywalk Mall,"Asian, Chinese, Thai, Japanese",4.7,2500,3234,New Delhi,kaggle,Luxury (>₹1500),Asian
Ministry Of Beer,Connaught Place,"Continental, Italian, Asian, Momos",4.5,1500,3043,New Delhi,kaggle,Premium (₹700-1500),Continental
Detroit,Connaught Place,"Bar Food, Mexican, Italian",4.6,1500,1327,New Delhi,kaggle,Premium (₹700-1500),Bar Food
The Darzi Bar & Kitchen,Connaught Place,"North Indian, Chinese, Continental, Pizza",4.3,1500,3211,New Delhi,kaggle,Premium (₹700-1500),North Indian
The Drunken Botanist,Cyber Hub,"Continental, Italian, North Indian, Chinese",4.4,2000,5554,Gurgaon,kaggle,Luxury (>₹1500),Continental
Tamasha,Connaught Place,"Finger Food, North Indian, Continental, Italian",4.5,1600,8702,New Delhi,kaggle,Luxury (>₹1500),Finger Food
Hauz Khas Social,Hauz Khas,"Continental, American, Asian, North Indian, Chinese, Pizza, Biryani, Beverages",4.8,1300,14751,New Delhi,kaggle,Premium (₹700-1500),Continental
Local,Connaught Place,"North Indian, Continental, Momos",4.3,1600,6583,New Delhi,kaggle,Luxury (>₹1500),North Indian
AMA Cafe,Majnu Ka Tila,"Cafe, Juices",4.5,450,3749,New Delhi,kaggle,Mid (₹300-700),Cafe
Delhi Darbar Biryani Point,Uttam Nagar,Biryani,4.2,200,1009,New Delhi,kaggle,Budget (≤₹300),Biryani
Station Bar,Connaught Place,"Asian, Continental, North Indian, Mediterranean, Bar Food",4.8,1600,1009,New Delhi,kaggle,Luxury (>₹1500),Asian
AIR- An Ivory Region,Punjabi Bagh,"North Indian, Chinese, Continental, Asian",4.1,1400,2472,New Delhi,kaggle,Premium (₹700-1500),North Indian
Unplugged Courtyard,Connaught Place,"North Indian, Continental, Momos",4.1,1600,3492,New Delhi,kaggle,Luxury (>₹1500),North Indian
Lord Of The Drinks,Connaught Place,"European, Chinese, North Indian, Italian, Asian",4.5,2500,9540,New Delhi,kaggle,Luxury (>₹1500),European
Out Of The Box,Khan Market,"North Indian, Lebanese, Mexican, Italian, American",4.7,1550,2631,New Delhi,kaggle,Luxury (>₹1500),North Indian
